sensor_id,cluster
1128,3
132561,0
1650,0
1852,0
2504,1
2749,2
3487,2
5222,0
6164,2
6472,2
6836,1
9076,0
9108,1
9168,0
17583,0
23263,0
23295,0
23347,0
27109,2
27113,0
28457,1
28515,2
28973,0
29295,0
30737,0
32339,0
33235,1
33855,0
34517,2
34519,2
35027,2
37193,1
37217,0
38399,0
39155,0
40639,0
42251,2
42857,0
52071,1
53825,0
54977,0
54981,1
54985,1
54993,0
55251,0
55351,2
56073,2
56141,2
63387,2
69201,2
71813,2
72459,0
74069,0
75839,0
76465,1
76469,2
76473,2
76627,0
76867,2
77427,2
78587,0
80069,2
80657,1
80807,2
81219,2
81363,2
81851,2
82271,0
83041,2
83081,2
83647,2
83895,2
84069,2
84083,2
84489,2
85253,2
85359,2
85373,2
85829,2
85985,2
86185,0
86367,2
86951,0
87315,0
87323,2
87413,0
87415,2
88895,2
90005,0
94397,0
96487,2
96793,1
99139,2
102032,2
104892,2
104900,0
104940,1
108518,0
110602,0
6228,1
6244,1
6886,1
14859,2
22675,0
34495,0
36143,2
36717,0
37885,0
40449,2
40721,1
40725,1
51323,0
52277,1
53043,0
61565,0
70793,0
78637,1
81379,0
84101,2
87129,0
87477,1
87567,2
90819,1
96243,0
102064,0
107960,0
